Name			Terrain	HP	Attack	Defense	Gold	Food	Weapon	Image	Talks	Friendly

PIXIE			-1	20	10	10	5	0	0	0	1	255
STRIDER			-1	15	10	10	15	0	0	1	1	255
FARMER			-1	15	10	10	5	0	0	2	1	255
EATON WARRIOR		-1	30	20	15	25	0	0	3	1	127
BANDIT			-1	15	15	12	25	0	0	4	1	127
SHADOW WISP		-1	20	20	15	25	0	0	5	1	63
HUGGYN			-1	20	20	15	25	0	0	6	1	63

SPRAYFISH		0	60	20	15	20	10	0	7	0	0
WAVE SKIMMER		0	60	20	15	20	10	0	8	0	0
SEA SWALLOW		0	60	20	15	30	10	4	9	0	0
GIANT MANTARAY		0	60	20	15	20	10	0	10	0	0

WIND STALKER		2	10	20	15	4	5	0	11	0	0
SCORPOD			2	10	20	15	4	15	0	12	0	0
BONE DWELLER		2	15	20	15	8	15	0	13	0	0
PRACTON PIERCER		2	20	20	15	16	15	0	14	0	0
CARRION MANGLER		2	20	20	15	18	0	0	15	0	0
VENTRO FLAILER		2	20	20	15	18	15	0	16	0	0

STINGING RAKISH		3	30	20	15	18	20	0	17	0	0
BLISTOPOD		3	30	20	15	20	25	0	18	0	0
PIT STRIKER		3	30	20	15	20	25	0	19	0	0
SLASH NETTLE		3	30	20	15	25	25	2	20	0	0

VENOM FLOATER		5	25	20	15	20	20	0	21	0	0
PULP CRAWLER		5	25	20	15	20	20	0	22	0	0
THRUST CREEPER		5	30	20	15	25	20	1	23	0	0
SLIME WEIRD		5	30	20	15	20	20	0	24	0	0

SCRABBLER		4	80	30	15	40	10	0	25	0	0
NEURAL CLOUD		4	60	20	25	40	10	3	26	0	0
CHURLER			4	60	20	15	40	10	0	27	0	0

ROCK BEETLE		1	80	30	25	80	10	0	28	0	0
MAMMOTH SCREECHER	1	200	40	25	200	30	0	29	0	0
MIME GHOUL		1	120	30	25	80	20	0	30	0	0
MASTON LEAPER		1	120	30	25	80	10	3	31	0	0


